island,cover_type,Kfs,notes,sheet,source
Maui,grass,477.6777677,NA,auwahi,perkins_GRL2012
Maui,grass,524.6069533,NA,auwahi,perkins_GRL2012
Maui,grass,1887.850353,NA,auwahi,perkins_GRL2012
Maui,grass,2983.885624,NA,auwahi,perkins_GRL2012
Maui,grass,1094.35137,NA,auwahi,perkins_GRL2012
Maui,grass,1303.989358,NA,auwahi,perkins_GRL2012
Maui,grass,1511.152598,NA,auwahi,perkins_GRL2012
Maui,grass,3929.174294,NA,auwahi,perkins_GRL2012
Maui,grass,619.6330068,NA,auwahi,perkins_GRL2012
Maui,grass,2671.669246,NA,auwahi,perkins_GRL2012
Maui,grass,1049.43269,NA,auwahi,perkins_GRL2012
Maui,grass,1799.171713,NA,auwahi,perkins_GRL2012
Maui,grass,991.7914418,NA,auwahi,perkins_GRL2012
Maui,grass,182.0066979,NA,auwahi,perkins_GRL2012
Maui,grass,713.1365109,NA,auwahi,perkins_GRL2012
Maui,grass,167.5271281,NA,auwahi,perkins_GRL2012
Maui,grass,1024.194278,NA,auwahi,perkins_GRL2012
Maui,grass,1993.133747,NA,auwahi,perkins_GRL2012
Maui,grass,337.4146191,NA,auwahi,perkins_GRL2012
Maui,grass,878.8136188,NA,auwahi,perkins_GRL2012
Maui,grass,251.8587664,NA,auwahi,perkins_GRL2012
Maui,grass,1583.364977,NA,auwahi,perkins_GRL2012
Maui,grass,2253.149274,NA,auwahi,perkins_GRL2012
Maui,grass,2041.993885,NA,auwahi,perkins_GRL2012
Maui,shrubs_trees,2107.312092,Dodonea,auwahi,perkins_GRL2012
Maui,shrubs_trees,2054.334501,Dodonea,auwahi,perkins_GRL2012
Maui,shrubs_trees,583.7410385,Dodonea,auwahi,perkins_GRL2012
Maui,shrubs_trees,1629.601472,Dodonea,auwahi,perkins_GRL2012
Maui,shrubs_trees,1941.148221,Dodonea,auwahi,perkins_GRL2012
Maui,shrubs_trees,3750.766703,Dodonea,auwahi,perkins_GRL2012
Maui,shrubs_trees,1948.22003,Dodonea,auwahi,perkins_GRL2012
Maui,shrubs_trees,4816.17742,Dodonea,auwahi,perkins_GRL2012
Maui,shrubs_trees,2468.955307,Dodonea,auwahi,perkins_GRL2012
Maui,shrubs_trees,1566.775087,Dodonea,auwahi,perkins_GRL2012
Maui,shrubs_trees,3351.99771,Dodonea,auwahi,perkins_GRL2012
Maui,shrubs_trees,481.617742,Under canopy,auwahi,perkins_GRL2012
Maui,shrubs_trees,1896.875707,Under canopy,auwahi,perkins_GRL2012
Maui,shrubs_trees,3038.699354,Olopua,auwahi,perkins_GRL2012
Maui,shrubs_trees,2322.268634,Olopua,auwahi,perkins_GRL2012
Maui,shrubs_trees,4646.512313,Olopua,auwahi,perkins_GRL2012
Maui,shrubs_trees,2067.79675,Olopua,auwahi,perkins_GRL2012
Maui,shrubs_trees,1836.644239,Olopua,auwahi,perkins_GRL2012
Maui,shrubs_trees,2368.450048,Olopua,auwahi,perkins_GRL2012
Maui,shrubs_trees,2881.541788,Olopua,auwahi,perkins_GRL2012
Maui,shrubs_trees,2060.617514,Olopua,auwahi,perkins_GRL2012
Maui,shrubs_trees,3576.454376,Olopua,auwahi,perkins_GRL2012
