"","island","cover_type","Kfs","notes","sheet","source"
"1","Hawaii","forests",365.1711195,"Medium","cb8295e6-5ee7-42d4-90f8-c4b170bbc598","Fortini_2017"
"2","Hawaii","forests",33.88604308,"Medium","aa11ae98-6ab3-4bf7-bed2-8e00787a9165","Fortini_2017"
"3","Hawaii","forests",0.585591516,"Medium","f40a584b-6292-4045-9ad5-a25af39841d7","Fortini_2017"
"4","Hawaii","forests",214.8447328,"Medium","6fece9ff-4d02-4d56-a54b-ce0dc9fdbd06","Fortini_2017"
"5","Hawaii","forests",7.337386242,"Medium","f76a0c8c-d0a1-479a-8dca-a1f2ac75232e","Fortini_2017"
"6","Hawaii","forests",267.3897632,"Medium","1fdaa83d-499e-4d9f-acf1-10e999781d13","Fortini_2017"
"7","Hawaii","forests",1.949964249,"Medium","afd063e7-48b4-4954-91c4-4f4dd8c04bd8","Fortini_2017"
"8","Hawaii","forests",322.2408554,"Medium","838a28ff-4c0a-4ad1-a9bf-8d5658c5cc95","Fortini_2017"
"9","Hawaii","forests",33.25195756,"Medium","c014b2a7-251c-4669-a8fa-7a87a7a7112a","Fortini_2017"
"10","Hawaii","forests",282.2550662,"Medium","4d4039ea-2d2a-4983-8bee-0194b2a2868b","Fortini_2017"
"11","Hawaii","forests",0,"Medium","2c0ec7fa-bbce-4d04-a8cf-cde717c61ad2","Fortini_2017"
"12","Hawaii","forests",1033.451356,"Medium","da75bca0-b460-43f1-bacc-068c83cbabb9","Fortini_2017"
"13","Hawaii","forests",3.48221787,"Medium","78126436-0f2b-4c86-aea7-d0375f9a9a58","Fortini_2017"
"14","Hawaii","forests",58.68173788,"Medium","879e5f60-34b8-4b5e-898d-3d74c818c57c","Fortini_2017"
"15","Hawaii","forests",9.806565615,"Medium","511982d6-9d68-40d8-b02c-432dd0ba7c99","Fortini_2017"
"16","Hawaii","forests",298.603709,"Medium","83993103-f89c-4b56-aed3-7ca5170f67d2","Fortini_2017"
"17","Hawaii","forests",21.62134884,"Medium","2a89af80-a8ab-404d-8440-2ea093dd40cb","Fortini_2017"
"18","Hawaii","forests",101.3314752,"Medium","8a0a54b5-2a94-483c-8bfa-877ac355159d","Fortini_2017"
"19","Hawaii","forests",1555.539913,"Medium","1acc2674-9875-401c-9f4f-e0bd498a1a60","Fortini_2017"
"20","Hawaii","forests",180.4978167,"Medium","024d0da0-0756-4332-bde0-aaa3d97d5b53","Fortini_2017"
"21","Hawaii","forests",222.2807676,"Medium","f95e35b4-08be-4fd8-b3ec-d4948f0cf30d","Fortini_2017"
"22","Hawaii","forests",3032.943216,"Medium","6f033287-8d88-40a0-ab88-a95e24495fc2","Fortini_2017"
"23","Hawaii","forests",3.744489502,"Medium","6f39d8a3-b30c-4107-a142-bda7cff59a4e","Fortini_2017"
"24","Hawaii","forests",13.83494445,"Medium","a78f670f-cbbb-4844-96c0-96a7a4832b1c","Fortini_2017"
"25","Hawaii","forests",471.3796637,"Medium","1af3849d-1135-485c-b492-8548e980754c","Fortini_2017"
"26","Hawaii","forests",1013.148208,"Medium","383c4946-bdab-4998-b110-bdf005a609f3","Fortini_2017"
"27","Hawaii","forests",1097.985943,"Medium","09001c98-df8a-49ca-af1e-777711717522","Fortini_2017"
"28","Hawaii","forests",437.6662911,"Medium","7eb74b45-05e2-4256-ae0c-0714b8e05bf9","Fortini_2017"
"29","Hawaii","forests",51.74501432,"Medium","b8d2b2db-6077-4d9b-9a2d-b9fdc00375db","Fortini_2017"
"30","Hawaii","forests",228.4366506,"Medium","6eb6138c-e0c3-4591-9058-5b0b3c83bf57","Fortini_2017"
"31","Hawaii","forests",226.8804031,"Medium","570f6cad-fd3f-4087-8b00-efc765b7444b","Fortini_2017"
"32","Hawaii","forests",367.5676966,"Medium","880f6ae7-3c2b-4b8d-abe4-8c398e6caaf7","Fortini_2017"
"33","Hawaii","forests",287.8793256,"Medium","7cdfae52-9afd-4154-ab56-244b5342a22c","Fortini_2017"
"34","Hawaii","forests",293.2704917,"Medium","ad8a5e72-5d38-4e0f-9f4b-e81ac5cad79c","Fortini_2017"
"35","Hawaii","forests",23.56648084,"Medium","f7057c44-6284-4ab0-83e3-76e0c7c2ce70","Fortini_2017"
"36","Hawaii","forests",12.85120039,"Medium","ecb297fc-bc4e-4457-ac83-17e1f8e455dc","Fortini_2017"
"37","Hawaii","forests",178.2292804,"Medium","481c4ae9-6cde-4217-8aa3-280e334fdd1f","Fortini_2017"
"38","Hawaii","forests",809.6941598,"Medium","dd40f78a-5ec0-44a4-aed0-66d69431ae6e","Fortini_2017"
"39","Hawaii","forests",1067.272468,"Medium","cd2700be-d655-4c32-bb63-9d25ab492629","Fortini_2017"
"40","Hawaii","forests",1794.784587,"Medium","7f99ea8a-cfbd-4623-9080-87253150dd33","Fortini_2017"
"41","Hawaii","forests",80.25218762,"Medium","e514d292-d4ad-40d3-82ef-475a1da6a0e8","Fortini_2017"
"42","Hawaii","forests",158.8927589,"Medium","266a85d8-fdf7-46a5-8e9a-9ec11bdb1e99","Fortini_2017"
"43","Hawaii","forests",876.7638725,"Medium","7312ddf3-812b-4b18-8cca-954b9b56741a","Fortini_2017"
"44","Hawaii","forests",4848.530331,"Medium","f8c3a292-bc77-402c-bf3e-f901cdf8f7b2","Fortini_2017"
"45","Hawaii","forests",2712.844485,"Medium","76dff788-e655-4e71-9986-290ec810b4f3","Fortini_2017"
"46","Hawaii","forests",0.675691196,"Medium","33e76806-c308-47c4-a300-c277bc9a2d2b","Fortini_2017"
"47","Hawaii","forests",95.72054475,"Medium","d51eac36-22dd-4fe6-a6e4-321038a9ec7f","Fortini_2017"
"48","Hawaii","forests",41.02022252,"Medium","3a86989c-06c2-4d6b-8a59-d2183d519fde","Fortini_2017"
"49","Hawaii","forests",647.0335633,"Medium","556be1ed-cd3d-463e-8edc-56e278bcbfd2","Fortini_2017"
"50","Hawaii","forests",220.3362359,"Medium","5f7746d8-a17b-4b8c-8447-ebc67667414e","Fortini_2017"
"51","Hawaii","forests",22.36167584,"Medium","ab3df5c7-2caa-4494-b37b-d80755ad40e1","Fortini_2017"
"52","Hawaii","forests",0.928872729,"Medium","952588f6-0a0b-42f3-823f-0b769636500f","Fortini_2017"
"53","Hawaii","forests",0.580835062,"Medium","59fb5a80-e5f5-400c-9944-5034e241d845","Fortini_2017"
"54","Hawaii","forests",3.504995004,"Medium","4ec78d00-88c1-48a1-a73d-cdcf4727851f","Fortini_2017"
"55","Hawaii","forests",1.021496183,"Medium","8f47b73b-15c1-4e7e-be1f-dcd55a7d9e32","Fortini_2017"
"56","Hawaii","forests",2.408159623,"Medium","cfcea53f-4250-4afc-9a98-1871835ba20d","Fortini_2017"
"57","Hawaii","forests",46.05254236,"Medium","a9d19570-b663-4d3a-8439-05751378cfac","Fortini_2017"
