"","lon","lat","easting","northing","Kfs","sample","description","class_val","cover_type","class_500","cover_500"
"1",-156.936822264708,21.0812015942178,714342,2332523,23.5,540,"KR60C site",1,"bare_soils",3,"shrubs_trees"
"2",-156.939674148706,21.0781475816378,714050,2332181,19.8,537,"KR-7A;infiltration; sample",3,"shrubs_trees",3,"shrubs_trees"
"3",-156.917666968428,21.0878853821342,716323,2333289,19.2,593,"infiltration test on soil above goat-top; sample",3,"shrubs_trees",3,"shrubs_trees"
"4",-156.918214062228,21.087296045323,716267,2333223,10.56,592,"infiltration test, ash at goat-top; sample",3,"shrubs_trees",3,"shrubs_trees"
"5",-156.922692764696,21.096689138092,715788,2334257,8.64,545,"KR-3A; infiltration; sample",4,"forests",4,"forests"
"6",-156.940698343048,21.076444085533,713946,2331991,8.1,536,"KR-6A;infiltration; sample",3,"shrubs_trees",3,"shrubs_trees"
"7",-156.926269372375,21.093463651431,715421,2333895,6.666666667,548,"infiltration, kaw1 soil; sample",3,"shrubs_trees",3,"shrubs_trees"
"8",-156.926334592387,21.0936179783321,715414,2333912,4.32,260,"kawela1 substrate",3,"shrubs_trees",3,"shrubs_trees"
"9",-156.926884280009,21.0935343883507,715357,2333902,2.482758621,543,"KAW2 infiltration; sample",2,"grass",3,"shrubs_trees"
"10",-156.93047862466,21.0883221623427,714991,2333320,8,706,"KR8-B minidisc",3,"shrubs_trees",3,"shrubs_trees"
"11",-156.931130132237,21.0878333971685,714924,2333265,3,707,"KR9-B minidisc",3,"shrubs_trees",3,"shrubs_trees"
"12",-156.931361418733,21.0878091248186,714900,2333262,7,708,"KR10 minidisc",3,"shrubs_trees",3,"shrubs_trees"
"13",-156.936762024431,21.0806860836933,714349,2332466,9,709,"KA61-A minidisc",3,"shrubs_trees",3,"shrubs_trees"
"14",-156.927456217943,21.0932343211328,715298,2333868,3,710,"KR5-B minidisc",2,"grass",3,"shrubs_trees"
"15",-156.918464115949,21.0983531836359,716225,2334447,5,711,"KR1-A minidisc",4,"forests",4,"forests"
"16",-156.91854235003,21.0982638331976,716217,2334437,14,712,"KR2-B minidisc",2,"grass",4,"forests"
"17",-156.923627463274,21.0966012453235,715691,2334246,10,713,"KR4-A minidisc",3,"shrubs_trees",3,"shrubs_trees"
"18",-156.926189264528,21.0936884500907,715429,2333920,3,714,"Kawela 1 minidisc near of8",2,"grass",3,"shrubs_trees"
"19",-156.92683567037,21.0935699185919,715362,2333906,1,715,"Kawela 2 minidisc near of421",2,"grass",3,"shrubs_trees"
"20",-156.933379398621,21.0887097493829,714689,2333359,4,728,"Kawela minidisc on volcanics",2,"grass",3,"shrubs_trees"
"21",-156.954156614938,21.108297557794,712502,2335500,15,743,"Ksat burned (wp 794 partner); sample for Kim",3,"shrubs_trees",3,"shrubs_trees"
"22",-156.937915381913,21.0989069812847,714203,2334482,9,744,"Ksat Goatpen; cracked brown volcanic soil, possible old A; sample for kim",3,"shrubs_trees",3,"shrubs_trees"
"23",-156.939880622706,21.0980638798389,714000,2334386,1,745,"Ksat Goatpen; cracked brown volcanic soil, possible old A; sample for kim",2,"grass",3,"shrubs_trees"
"24",-156.940214032277,21.0955211350091,713969,2334104,4,746,"Ksat Goatpen; cracked brown volcanic soil, possible old A; sample for kim",3,"shrubs_trees",3,"shrubs_trees"
